timestamp,realized_balance,unrealized_pnl,total_equity,active_positions
2026-09-01 11:37:55,1000.0,0.0,1000.0,0
2026-09-01 11:38:07,1000.0,0.0,1000.0,0
2026-09-01 11:38:36,1000.0,0.0,1000.0,0
2026-09-01 11:39:04,1000.0,0.0,1000.0,0
2026-09-02 09:06:41,1000.0,0.0,1000.0,0
2026-09-02 09:06:58,1000.0,0.0,1000.0,0
2026-09-02 09:07:22,1000.0,0.0,1000.0,0
2026-09-02 09:07:46,1000.0,0.0,1000.0,0
2026-09-02 09:08:10,1000.0,0.0,1000.0,0
2026-09-02 09:08:34,1000.0,0.0,1000.0,0
2026-09-02 09:08:59,1000.0,0.0,1000.0,0
2026-09-02 09:13:53,1000.0,0.0,1000.0,0
2026-09-02 09:14:05,1000.0,0.0,1000.0,2
2026-09-02 09:14:29,1000.0,0.0,1000.0,2
2026-09-02 09:14:53,1000.0,0.0,1000.0,2
2026-09-02 09:18:49,1000.0,0.0,1000.0,0
2026-09-02 09:18:54,1000.0,0.0,1000.0,0
2026-09-02 09:18:57,1000.0,0.0,1000.0,0
2026-09-02 09:19:00,1000.0,0.0,1000.0,0
2026-09-02 09:19:00,1000.0,0.0,1000.0,0
2026-09-02 09:19:18,1000.0,0.0,1000.0,0
2026-09-02 09:19:21,1000.0,0.0,1000.0,0
2026-09-02 09:19:24,1000.0,0.0,1000.0,0
2026-09-02 09:19:24,1000.0,0.0,1000.0,0
2026-09-02 09:19:42,1000.0,0.0,1000.0,0
2026-09-02 09:19:45,1000.0,0.0,1000.0,0
2026-09-02 09:19:48,1000.0,0.0,1000.0,0
2026-09-02 09:19:48,1000.0,0.0,1000.0,0
2026-09-02 09:20:07,1000.0,0.0,1000.0,0
2026-09-02 09:20:10,1000.0,0.0,1000.0,0
2026-09-02 09:20:13,1000.0,0.0,1000.0,1
2026-09-02 09:20:13,1000.0,0.0,1000.0,1
2026-09-02 09:20:31,1000.0,0.0,1000.0,1
2026-09-02 09:20:34,1000.0,0.01,1000.01,1
2026-09-02 09:20:37,1000.0,0.0,1000.0,1
2026-09-02 09:20:37,1000.0,0.0,1000.0,1
2026-09-02 09:43:45,1000.0,0.0,1000.0,0
2026-09-02 09:43:47,1000.0,0.0,1000.0,1
2026-09-02 09:43:48,1000.0,0.0,1000.0,2
2026-09-02 09:43:51,1000.0,-0.0,1000.0,2
2026-09-02 09:43:55,1000.0,0.0,1000.0,2
2026-09-02 09:43:57,1000.0,0.01,1000.01,2
2026-09-02 09:43:58,1000.0,-0.01,999.99,2
2026-09-02 09:44:01,1000.0,0.0,1000.0,2
2026-09-02 09:44:04,1000.0,-0.0,1000.0,2
2026-09-02 09:44:05,1000.0,0.01,1000.01,2
2026-09-02 09:44:10,1000.0,-0.0,1000.0,2
2026-09-02 09:44:11,1000.0,0.0,1000.0,2
2026-09-02 09:44:12,1000.0,0.01,1000.01,2
2026-09-02 09:46:52,1000.0,0.0,1000.0,0
2026-09-02 09:46:53,1000.0,0.0,1000.0,1
2026-09-02 09:46:54,1000.0,0.0,1000.0,2
2026-09-02 09:46:58,1000.0,0.01,1000.01,2
2026-09-02 09:46:59,1000.0,0.0,1000.0,2
2026-09-02 09:47:04,1000.0,0.01,1000.01,2
2026-09-02 09:47:05,1000.0,0.01,1000.01,2
2026-09-02 09:47:06,1000.0,0.0,1000.0,2
2026-09-02 09:47:11,1000.0,0.02,1000.02,2
2026-09-02 09:47:12,1000.0,0.03,1000.03,2
2026-09-02 09:47:14,1000.0,0.0,1000.0,2
2026-09-02 09:47:18,1000.0,0.03,1000.03,2
2026-09-02 09:47:20,1000.0,0.02,1000.02,2
2026-09-02 09:47:21,1000.0,0.0,1000.0,2
2026-09-02 09:47:26,1000.0,0.0,1000.0,2
2026-09-02 09:47:27,1000.0,0.03,1000.03,2
2026-09-02 09:47:30,1000.0,0.0,1000.0,2
2026-09-02 09:47:33,1000.0,0.03,1000.03,2
2026-09-02 09:47:36,1000.0,0.03,1000.03,2
2026-09-02 09:47:37,1000.0,0.0,1000.0,2
2026-09-02 09:47:43,1000.0,0.03,1000.03,2
2026-09-02 09:47:45,1000.0,0.04,1000.04,2
2026-09-02 09:47:46,1000.0,0.0,1000.0,2
2026-09-02 09:47:51,1000.0,0.03,1000.03,2
2026-09-02 09:47:52,1000.0,0.03,1000.03,2
2026-09-02 09:47:53,1000.0,0.0,1000.0,2
2026-09-02 09:47:56,1000.0,0.02,1000.02,2
2026-09-02 09:47:59,1000.0,0.04,1000.04,2
2026-09-02 09:48:04,1000.0,0.04,1000.04,2
2026-09-02 09:48:07,1000.0,0.03,1000.03,2
2026-09-02 09:48:09,1000.0,0.0,1000.0,2
2026-09-02 09:48:10,1000.0,0.04,1000.04,2
2026-09-02 09:48:14,1000.0,0.02,1000.02,2
2026-09-02 09:48:15,1000.0,0.0,1000.0,2
2026-09-02 09:48:19,1000.0,0.03,1000.03,2
2026-09-02 09:48:21,1000.0,0.03,1000.03,2
2026-09-02 09:48:22,1000.0,0.0,1000.0,2
2026-09-02 09:48:25,1000.0,0.0,1000.0,2
2026-09-02 09:48:30,1000.0,0.03,1000.03,2
2026-09-02 09:48:31,1000.0,0.04,1000.04,2
2026-09-02 09:48:34,1000.0,0.03,1000.03,2
2026-09-02 09:48:36,1000.0,0.0,1000.0,2
2026-09-02 09:48:41,1000.0,0.0,1000.0,2
2026-09-02 09:48:42,1000.0,0.04,1000.04,2
2026-09-02 09:48:43,1000.0,0.04,1000.04,2
