timestamp,event_type,symbol,direction,strategy,entry_price,exit_price,pnl_usd,stop_loss,take_profit,rr_ratio,position_usd,balance_after
2026-09-02 09:13:56,ENTRY,BTC/USDT,LONG,TEST_RSI_REBOUND_LONG,76980.93,,0.0,76703.343,77536.104,2.0,20.0,1000.0
2026-09-02 09:13:57,ENTRY,ETH/USDT,LONG,TEST_RSI_REBOUND_LONG,2396.4,,0.0,2384.7623,2419.6754,2.0,20.0,1000.0
2026-09-02 09:19:56,ENTRY,ETH/USDT,LONG,RSI_REBOUND_LONG,2392.35,,0.0,2380.8022,2415.4457,2.0,20.0,1000.0
2026-09-02 09:20:12,ENTRY,BTC/USDT,LONG,RSI_REBOUND_LONG,76877.48,,0.0,76610.0199,77412.4002,2.0,20.0,1000.0
2026-09-02 09:43:38,ENTRY,SOL/USDT,LONG,RSI_REBOUND_LONG,98.51,,0.0,97.8797,99.7706,2.0,20.0,1000.0
2026-09-02 09:43:38,ENTRY,BTC/USDT,LONG,RSI_REBOUND_LONG,76553.87,,0.0,76239.9673,77181.6754,2.0,20.0,1000.0
2026-09-02 09:46:45,ENTRY,BTC/USDT,LONG,RSI_REBOUND_LONG,76558.0,,0.0,76253.2268,77167.5463,2.0,20.0,1000.0
2026-09-02 09:46:45,ENTRY,ETH/USDT,LONG,RSI_REBOUND_LONG,2368.3,,0.0,2354.8913,2395.1173,2.0,20.0,1000.0
2026-09-02 09:52:16,ENTRY,BTC/USDT,LONG,RSI_REBOUND_LONG,76701.69,,0.0,76381.8825,77341.3049,2.0,20.0,1000.0
2026-09-02 09:52:16,ENTRY,ETH/USDT,LONG,RSI_REBOUND_LONG,2375.57,,0.0,2361.4638,2403.7823,2.0,20.0,1000.0
