timestamp,realized_balance,unrealized_pnl,total_equity,active_positions
2026-09-01 11:37:55,1000.0,0.0,1000.0,0
2026-09-01 11:37:58,1000.0,0.0,1000.0,0
2026-09-01 11:38:14,1000.0,0.0,1000.0,0
2026-09-01 11:38:30,1000.0,0.0,1000.0,0
2026-09-01 11:38:46,1000.0,0.0,1000.0,0
2026-09-01 11:39:02,1000.0,0.0,1000.0,0
2026-09-02 09:06:41,1000.0,0.0,1000.0,0
2026-09-02 09:06:49,1000.0,0.0,1000.0,0
2026-09-02 09:07:05,1000.0,0.0,1000.0,0
2026-09-02 09:07:21,1000.0,0.0,1000.0,0
2026-09-02 09:07:37,1000.0,0.0,1000.0,0
2026-09-02 09:07:53,1000.0,0.0,1000.0,0
2026-09-02 09:08:09,1000.0,0.0,1000.0,0
2026-09-02 09:08:25,1000.0,0.0,1000.0,0
2026-09-02 09:08:41,1000.0,0.0,1000.0,0
2026-09-02 09:08:57,1000.0,0.0,1000.0,0
2026-09-02 09:13:53,1000.0,0.0,1000.0,0
2026-09-02 09:13:57,1000.0,0.0,1000.0,2
2026-09-02 09:14:13,1000.0,0.0,1000.0,2
2026-09-02 09:14:29,1000.0,0.0,1000.0,2
2026-09-02 09:14:45,1000.0,0.0,1000.0,2
2026-09-02 09:15:03,1000.0,0.0,1000.0,2
2026-09-02 09:18:49,1000.0,0.0,1000.0,0
2026-09-02 09:18:52,1000.0,0.0,1000.0,0
2026-09-02 09:18:52,1000.0,0.0,1000.0,0
2026-09-02 09:18:52,1000.0,0.0,1000.0,0
2026-09-02 09:18:52,1000.0,0.0,1000.0,0
2026-09-02 09:19:08,1000.0,0.0,1000.0,0
2026-09-02 09:19:08,1000.0,0.0,1000.0,0
2026-09-02 09:19:08,1000.0,0.0,1000.0,0
2026-09-02 09:19:08,1000.0,0.0,1000.0,0
2026-09-02 09:19:24,1000.0,0.0,1000.0,0
2026-09-02 09:19:24,1000.0,0.0,1000.0,0
2026-09-02 09:19:24,1000.0,0.0,1000.0,0
2026-09-02 09:19:24,1000.0,0.0,1000.0,0
2026-09-02 09:19:40,1000.0,0.0,1000.0,0
2026-09-02 09:19:40,1000.0,0.0,1000.0,0
2026-09-02 09:19:40,1000.0,0.0,1000.0,0
2026-09-02 09:19:40,1000.0,0.0,1000.0,0
2026-09-02 09:19:56,1000.0,0.0,1000.0,0
2026-09-02 09:19:56,1000.0,0.0,1000.0,0
2026-09-02 09:19:56,1000.0,0.0,1000.0,1
2026-09-02 09:19:56,1000.0,0.0,1000.0,1
2026-09-02 09:20:12,1000.0,0.0,1000.0,1
2026-09-02 09:20:12,1000.0,-0.01,999.99,2
2026-09-02 09:20:13,1000.0,0.0,1000.0,2
2026-09-02 09:20:13,1000.0,0.0,1000.0,2
2026-09-02 09:20:28,1000.0,0.01,1000.01,2
2026-09-02 09:20:28,1000.0,0.01,1000.01,2
2026-09-02 09:20:29,1000.0,0.0,1000.0,2
